longitude,latitude,acq_date
80.1567,28.9264,2019-03-27
80.155,28.9353,2019-03-27
80.1448,28.9339,2019-03-27
84.8318,27.3403,2019-03-28
87.8411,27.53,2019-03-28
82.001,28.0928,2019-03-28
84.8367,27.3371,2019-03-28
87.8298,27.5263,2019-03-28
84.9951,27.2463,2019-03-28
84.9933,27.2553,2019-03-28
84.8239,27.3312,2019-03-28
85.7114,27.0122,2019-03-29
85.3083,27.077,2019-03-29
80.2475,28.7827,2019-03-30
82.0001,28.0724,2019-03-30
84.9739,27.1764,2019-03-31
84.83,27.3112,2019-03-31
85.2256,27.9059,2019-03-31
85.2154,27.9044,2019-03-31
81.2051,28.6013,2019-03-31
80.4572,28.777,2019-03-31
80.4411,28.774,2019-03-31
80.1212,29.0277,2019-03-31
80.7938,30.0867,2019-04-01
82.2782,27.9804,2019-04-01
82.0971,27.9624,2019-04-01
83.9929,27.597,2019-04-01
85.3777,27.2991,2019-04-01
83.8367,27.5092,2019-04-01
82.0117,28.0912,2019-04-01
82.1047,27.9588,2019-04-01
80.4406,28.8021,2019-04-02
80.4239,28.8053,2019-04-02
84.7465,27.5312,2019-04-02
86.0888,27.4431,2019-04-02
82.0024,28.0851,2019-04-02
87.1997,26.4397,2019-04-02
87.1888,26.438,2019-04-02
85.3006,27.1256,2019-04-02
86.0996,27.4449,2019-04-02
81.4586,28.3872,2019-04-02
85.625,27.1355,2019-04-02
82.0261,28.0798,2019-04-02
82.0159,28.0784,2019-04-02
81.4704,28.3797,2019-04-02
81.4687,28.3886,2019-04-02
81.1684,28.6772,2019-04-02
85.1279,27.9166,2019-04-03
84.5492,27.8023,2019-04-03
85.0623,28.1888,2019-04-03
81.475,28.3854,2019-04-03
81.8565,27.974,2019-04-03
82.0111,28.0722,2019-04-03
80.3401,28.7432,2019-04-03
80.3323,28.7562,2019-04-03
85.5674,26.8619,2019-04-03
81.485,28.3875,2019-04-04
81.359,28.3169,2019-04-04
85.5279,27.261,2019-04-04
83.9221,27.4933,2019-04-04
85.5132,27.2532,2019-04-05
80.162,28.865,2019-04-05
80.1517,28.8635,2019-04-05
80.1602,28.874,2019-04-05
81.8213,27.9344,2019-04-05
81.3846,28.3429,2019-04-05
82.7078,28.7083,2019-04-05
80.1499,28.8725,2019-04-05
81.2551,28.5545,2019-04-05
85.4322,26.9061,2019-04-08
82.1452,28.0096,2019-04-09
81.9184,27.9541,2019-04-11
85.0268,27.8535,2019-04-11
81.3962,28.3606,2019-04-12
80.4431,28.804,2019-04-12
81.3855,28.3592,2019-04-12
81.5718,28.5311,2019-04-12
83.679,27.4556,2019-04-14
83.0323,27.6784,2019-04-14
83.0321,27.6234,2019-04-14
83.9914,27.6,2019-04-14
84.878,27.1379,2019-04-14
84.0018,27.6013,2019-04-14
80.3105,28.7768,2019-04-14
82.5406,27.9017,2019-04-14
82.6394,27.9252,2019-04-14
82.4503,27.9629,2019-04-14
81.8901,27.8893,2019-04-14
82.0787,28.0465,2019-04-14
82.0885,28.1857,2019-04-14
82.0783,28.1842,2019-04-14
81.6958,28.432,2019-04-14
81.4251,28.3912,2019-04-14
81.4146,28.3896,2019-04-14
81.4006,28.4325,2019-04-14
81.0144,28.4751,2019-04-14
80.8951,28.7787,2019-04-14
80.3218,28.7786,2019-04-14
80.5324,29.0454,2019-04-14
80.5307,29.0547,2019-04-14
83.7407,27.4531,2019-04-15
87.1851,26.4517,2019-04-16
83.0191,27.494,2019-04-18
81.8551,28.1842,2019-04-18
84.8658,27.1608,2019-04-18
83.0131,27.7359,2019-04-18
83.0048,27.7421,2019-04-18
82.7396,27.7153,2019-04-18
87.3325,27.1906,2019-04-18
85.313,27.1289,2019-04-18
84.8734,27.156,2019-04-18
83.6549,27.4367,2019-04-18
81.8743,28.2113,2019-04-18
83.3149,27.3926,2019-04-18
81.8651,28.1822,2019-04-18
81.855,28.1808,2019-04-18
81.869,28.1777,2019-04-19
82.9608,27.7327,2019-04-19
87.2297,26.466,2019-04-19
80.8417,28.6711,2019-04-19
84.8677,27.3565,2019-04-19
83.4951,27.5478,2019-04-19
83.8926,27.6115,2019-04-19
83.2184,27.6333,2019-04-19
83.2029,27.6316,2019-04-19
82.5385,27.9072,2019-04-19
82.5457,27.9144,2019-04-19
81.9686,28.0532,2019-04-19
81.4813,28.1172,2019-04-19
